Type,TypeOfVehicles,NewlyRegistered,VehiclesCategory,TotalRegisteredAsOnstMarch,id,timestamp
Transport,Multiaxled / Articulated Vehicles,4593,I. Multiaxled / Articulated Vehicles,45483,1,2015-12-29 12:30:59
Transport,Motor cycles on hire,NA,VII. Motor cycles on hire,NA,18,2015-12-29 12:30:59
Transport,Total Transport *,88971,Total Transport(I to VII),1062081,19,2015-12-29 12:30:59
Non Transport,Scooters,164847,I. Two wheelers,1646891,20,2015-12-29 12:30:59
Non Transport,Mopeds,169680,I. Two wheelers,2271733,21,2015-12-29 12:30:59
Non Transport,Motor cycles,369794,I. Two wheelers,3818742,22,2015-12-29 12:30:59
Non Transport,Total Two wheelers,704321,Total-I. Two wheelers,7737366,23,2015-12-29 12:30:59
Non Transport,Cars,138229,II. Cars,1269430,24,2015-12-29 12:30:59
Non Transport,Jeeps,950,III. Jeeps,42179,25,2015-12-29 12:30:59
Non Transport,Omni buses,4129,IV. Omni buses,113204,26,2015-12-29 12:30:59
Non Transport,Tractors,22434,V. Tractors,363993,27,2015-12-29 12:30:59
Non Transport,Trailers,18256,VI. Trailers,251553,28,2015-12-29 12:30:59
Non Transport,Other vehicles not covered #,1828,VII. Other vehicles not covered,69795,29,2015-12-29 12:30:59
Non Transport,Total Non-Transport,890147,Total Non Transport (I to VII),9847520,30,2015-12-29 12:30:59
Transport,Total Light Motor Vehicles (Passengers),25979,Total- VI. Light Motor Vehicles (Passengers),285408,17,2015-12-29 12:30:59
Transport,Four to six seaters,1986,VI. Light Motor Vehicles (Passengers),33873,16,2015-12-29 12:30:59
Transport,Three seaters,23993,VI. Light Motor Vehicles (Passengers),251535,15,2015-12-29 12:30:59
Transport,Trucks & Lorries,11716,II. Trucks & Lorries,187939,2,2015-12-29 12:30:59
Transport,Four Wheelers,13860,III. Light Motor Vehicles (Goods),126673,3,2015-12-29 12:30:59
Transport,Three Wheelers,8922,III. Light Motor Vehicles (Goods),94487,4,2015-12-29 12:30:59
Transport,Total Light Motor Vehicles (Goods),22782,Total-III. Light Motor Vehicles (Goods),221160,5,2015-12-29 12:30:59
Transport,Stage carriages,1775,IV. Buses,32548,6,2015-12-29 12:30:59
Transport,Contract carriages,175,IV. Buses,1445,7,2015-12-29 12:30:59
Transport,Private service vehicles,650,IV. Buses,10888,8,2015-12-29 12:30:59
Transport,Other buses,1889,IV. Buses,17620,9,2015-12-29 12:30:59
Transport,Total Buses,4489,Total-IV. Buses,62501,10,2015-12-29 12:30:59
Transport,Motor cabs,7598,V. Taxis,83319,11,2015-12-29 12:30:59
Transport,Maxi cabs,5624,V. Taxis,57498,12,2015-12-29 12:30:59
Transport,Other taxis,206,V. Taxis,1883,13,2015-12-29 12:30:59
Transport,Total Taxis,13428,Total- V. Taxis,142700,14,2015-12-29 12:30:59
Transport + Non-transport,Grand Total (Transport + Non-Transport),979118,Grand Total (Transport + Non-Transport),10909601,31,2015-12-29 12:30:59
